artist_name_raw,artist_name_norm,listeners,playcount,id_genre
Franz Ferdinand,franz ferdinand,4790409,177561769,2
French Police,french police,265277,3240624,2
Friday Pilots Club,friday pilots club,258089,9172783,2
From Ashes to New,from ashes to new,248600,6665275,2
Fruit Bats,fruit bats,635146,9922836,2
Ghostwoman,ghostwoman,89727,741724,2
Gary Clark Jr.,gary clark jr.,516786,7755408,2
Gary Moore,gary moore,969387,17564132,2
Generación 12,generación 12,15173,423185,2
George Barnett,george barnett,87556,922148,2
Gerardo Moran,gerardo moran,531,2471,2
Ghost,ghost,1584708,151044177,2
Ghost Funk Orchestra,ghost funk orchestra,119969,1027614,2
Giant Rooks,giant rooks,223585,5907340,2
Glyders,glyders,54717,274492,2
Good Kid,good kid,542160,27566507,2
Goodbye June,goodbye june,142814,1310281,2
Gorillaz,gorillaz,6699611,488840018,2
Goth Babe,goth babe,546538,10412606,2
Greta Van Fleet,greta van fleet,768014,29449491,2
"Grover Washington, Jr.","grover washington, jr.",1217564,11377126,2
Guns N' Roses,guns n' roses,5089408,198909098,2
Gustavo Santaolalla,gustavo santaolalla,851730,23434580,2
H.E.A.T,h.e.a.t,71957,2632991,2
HEALTH,health,973882,30835595,2
Honeymoan,honeymoan,121297,1335358,2
Hens,hens,25706,990136,2
Héroes del Silencio,héroes del silencio,201438,6083163,2
Hipatia Balseca,hipatia balseca,1030,6949,2
Holding Absence,holding absence,241055,9314236,2
Hollow Ship,hollow ship,75757,320412,2
Hombres G,hombres g,507055,9938902,2
Huntza,huntza,8531,199663,2
I Prevail,i prevail,567386,30879441,2
Ilegales,ilegales,77648,948831,2
Imagine Dragons,imagine dragons,3975552,245280593,2
Indio Solari,indio solari,30304,1474665,2
Inhaler,inhaler,508170,27862656,2
Iron Maiden,iron maiden,3154249,263319260,2
Jack Johnson,jack johnson,3632039,183956881,2
Jackie Venson,jackie venson,23889,168140,2
Jadu Heart,jadu heart,469704,7509163,2
Jagwar Twin,jagwar twin,304880,3570227,2
Jaime Enrique Aymara,jaime enrique aymara,1155,9334,2
James Taylor,james taylor,1467476,25685173,2
Jelly Roll,jelly roll,315106,6648956,2
Jeris Johnson,jeris johnson,145450,2276673,2
Jero Jones,jero jones,3020,41076,2
Jerry Lee Lewis,jerry lee lewis,977536,9325266,2
Joey Valence & Brae,joey valence & brae,923504,26174330,2
John Mayer,john mayer,3710444,200065395,2
