track_id,name_track,name_artist,name_album,type,year,duration_ms,genre,popularity,explicit,artist_id
4uIDThcEtDqOdtPodauAvj,Up,Zedman,Up,track,2019,199653,chill,0,True,4XuGwmUZVLSlTLGl5FZdaH
1QngvID3vgLWlAGG0w2216,Sunset,Sami Sivananda,"Enjoy the Silence, Vol. 5",track,2019,97050,chill,0,False,1OATfjEIsg2QApzc0fUpvM
5uYJf2MP20H9LxPuycvkVu,Run/,Zedman,Zavior,track,2019,173509,chill,0,True,4XuGwmUZVLSlTLGl5FZdaH
6HsXeSNnNccuoo7WHrFwza,Dive - Late Night Chill Version,Thomas Lemmer,Sensual Spa Lounge 10 - Chill-Out & Lounge Collection,track,2019,346000,chill,0,False,01Ix2zdjR4PQ2eYMpclD9d
4LcHHeVLMCnfJi5T9mMlY4,Plan B,Zedman,Zavior,track,2019,159405,chill,0,True,4XuGwmUZVLSlTLGl5FZdaH
7ogYy0wpkuVB6JDksxoPdo,Blissful Mind,Thomas Lemmer,RLX #22 - The Chill Out Collection,track,2019,255221,chill,0,False,01Ix2zdjR4PQ2eYMpclD9d
4Y6XuCdjXtqLBa8y9giEq5,Eternally in Love - Original Mix,Sami Sivananda,Asian Heart Lounge: Chillout Your Mind,track,2019,288000,chill,0,False,1OATfjEIsg2QApzc0fUpvM
1IKZ8TpUKldhWvtDV5povq,Vanila Sky,Marga Sol,Sunset Beach Lounge: The Best Chill Out Music for My Beach Party,track,2019,411457,chill,0,False,4y7BFiVRM23Sw8fUPcfXRI
49ovlTdnDr7muRkoHbYoFH,Sleeping Thoughts,Coral Chiller,"Champagne Loungin, Vol. 9 (Compiled by Eddie Silverton)",track,2019,344962,chill,0,False,1ga9b9ldU5OjOeFx7v5sHH
40LPLCCzrbEVjxmtrmi92e,Missing You - Beauty Way of Life Instrumental Mix,Artenovum,"Chill on the Beach, Vol. 6 (20 Finest Balearic Chillhouse & Ibiza Chillout Lounge Tunes)",track,2019,265333,chill,0,False,3SPG8VuJfCW9YUtiXItgNP
2BoeyUWxyN8g6KI0lRc63j,Come & Love Me - Original Mix,Marga Sol,Lovers Lounge (Chillout Your Mind),track,2019,275999,chill,0,False,4y7BFiVRM23Sw8fUPcfXRI
0ZJ0tNRyRj766EKDa2N4dt,Maha-Amba - Living Room Remix,Mathieu & Florzinho,"Lakeside Chill Sounds, Vol. 15",track,2019,352000,chill,0,False,2F8wI7ksQbqhKuHO6dhDB6
0wepugwDwKZvWJr6Kdeig2,Clouds,Beatkonexion,Enchilladas - Daily Spa Chillout Lounge - Editión Uno,track,2019,218993,chill,0,False,7GLFOIPLtKm8fck9zTcWj3
04JZjwJo8CrJMbBFjBRJbn,I Hope Yesterday Never Comes - Original Mix,Steen Thottrup,"Floating Clouds (Amazing Chill out Anthems), Vol. 1",track,2019,403026,chill,0,False,6tPMvCqpjXjP9Iezu41j3E
24twKWteyaiPM3WZ238289,Eternally in Love,Sami Sivananda,"Supreme Relax, Vol. 5",track,2019,288550,chill,0,False,1OATfjEIsg2QApzc0fUpvM
5DW9EVO562Ok77EyJfcvGD,Words = Weapon,Zedman,Brain Storm,track,2019,185573,chill,0,True,4XuGwmUZVLSlTLGl5FZdaH
572qKBJo8woS7UkmvnWGH9,Meet Me There,Ganga,Mykonos Sunsets (The Chill Out Beach Edition),track,2019,291213,chill,0,False,0i6vkNic4Oz5lswGJIMsim
7KhEQY4aRfJDMSf1EHJfPT,Harder I Go,Winston,In House Beefin,track,2019,225660,chill,0,True,6E1DyR6bvRaPVzRw3DW6D9
5L8VlYZRXRs5vU0xgN6MEL,Down in Jaipur,Mathieu & Florzinho,RLX #25 - The Chill Out Collection,track,2019,317373,chill,0,False,2F8wI7ksQbqhKuHO6dhDB6
6Dr08opY7khvnW5YTZJdY1,Ace,Zedman,Cards,track,2019,275147,chill,0,True,4XuGwmUZVLSlTLGl5FZdaH
4EUVqJNWZrERvLRp7pstGW,Buckle Up - Mixed,Summer Heart,Kitsuné Musique Mixed by Kinder (DJ Mix),track,2019,147385,chill,0,False,0JlTFsR41vwvQTppOR3yio
5Ha6QQrH200Hv9i8TOGDJW,Use Somebody,Shannon & Keast,90S & 00S Love Songs,track,2019,207921,chill,0,False,48hHNfz4xNPbsKEZOkNfmN
3Seb1NuUDgHUDc294LdDN2,Movie,Zedman,Cards,track,2019,223425,chill,0,True,4XuGwmUZVLSlTLGl5FZdaH
3pSRvY0NCBNPHm5jg9svCv,Parabolic,Jens Buchert,Ibiza Chillout #9,track,2019,320974,chill,0,False,6alaxwLNRgI8B82ki2nLMj
6OV3WzrYv6uNIoBwJiWZaj,The Wind,Ganga,"Lounge & Summer, Vol. 4",track,2019,281910,chill,0,False,0i6vkNic4Oz5lswGJIMsim
3Mqoz1yHaGpMCWOsN51m4t,Quite Some Time,David Emde,Smile,track,2019,186986,chill,0,True,5RJZfbpmq3aRaRBYP1Q89D
150i2lfQW89Q2RDWguJP73,The Nearness of You,Shannon & Keast,Jazz Music Playlist for Studying,track,2019,226712,chill,0,False,48hHNfz4xNPbsKEZOkNfmN
23QktDR9qKiNSVPz9VY3pC,The Ocean - Original Mix,Marga Sol,Zen Lounge (Chillout Your Mind),track,2019,312333,chill,0,False,4y7BFiVRM23Sw8fUPcfXRI
0Srm5d6nm2wD9Odi4rJtlu,Zealous - Atmosphere Edit,Loungeside,New Perspectives of Chillout,track,2019,354600,chill,0,False,7Fc3a0KSI8Lrdyl7LKAMAg
4Cp0hJbinYvgxPkmu99yPq,Surrounding - Extended Mix,Sunyata Project,Fahrstuhl Musik: Etage 2,track,2019,355195,chill,0,False,7vyy3QthwHCQtdcPAX7HUu
3u5lYrUU0BkSaDDVUymoRN,Won't Give up (Cafe Del Mar Mix),Roberto Sol,"Hotel Lounge, Vol. 3",track,2019,254067,chill,0,False,55UZtehjnrMmLlIk6UXjxS
76DXeNyLD6Z6St9GF8Ljgi,Spirit of Ashram - Extended Mix,Sunyata Project,Meditation Zone 7,track,2019,340729,chill,0,False,7vyy3QthwHCQtdcPAX7HUu
5m6FlDw77Y2MCpsOBAgl70,Another Orbit - Your Dreams Mix,Jean Mare,"Cherry Blossoms Springtime Chill, Vol. 2 (Finest Ambient and Background Music to Relax)",track,2019,215100,chill,0,False,228Fo5ITCDh5RPK5EkxBl5
6SqTD1y3ukYfLhEnL38Fca,Nirvana Song - Dreamers inc & ThroDef remix,Nacho Sotomayor,Singapore Orange (Urban Oriental Music),track,2019,372636,chill,0,False,4uRLIC5uQs3CzTq7jEcrzJ
0bUxNHEyRy79zO8QBjqscN,Wonderful - Dreamersinc & Throdef Deep Remix,Nacho Sotomayor,"Pink Lounge Collection, Vol. 3",track,2019,416965,chill,0,False,4uRLIC5uQs3CzTq7jEcrzJ
2ahcXZWU8H1BhXHFFOZBQH,Me,Zedman,Naibu,track,2019,202135,chill,0,True,4XuGwmUZVLSlTLGl5FZdaH
2ZVdGhxcMprgMDrCIXwAJ6,Golden Lightfalls,Ganga,Golden Lightfalls,track,2019,285663,chill,0,False,0i6vkNic4Oz5lswGJIMsim
2vzMLbsqEsPJMgZBEoIiEX,What We Had - Love Mix,Marga Sol,"Chilled Weekend, Vol. 4 (Keep Calm And Enjoy This Amazing Mix Of Down Beat Tunes)",track,2019,301781,chill,0,False,4y7BFiVRM23Sw8fUPcfXRI
4vfBYx2jIz37gnA47hUXOn,Nothing Without You - Original Mix,Weathertunes,"Sunrise, Sunset & Moonlight (25 Beautiful Vocal Tunes) [Moonlight Edition]",track,2019,240533,chill,0,False,09RO21zvGR2TKabNuqnGoM
