name_track,artist_name_raw,artist_name_norm,name_album,type,year,duration_ms,popularity,id_genre
The Ocean - Original Mix,Marga Sol,marga sol,Zen Lounge (Chillout Your Mind),track,2019,312333,0,3
Zealous - Atmosphere Edit,Loungeside,loungeside,New Perspectives of Chillout,track,2019,354600,0,3
Surrounding - Extended Mix,Sunyata Project,sunyata project,Fahrstuhl Musik: Etage 2,track,2019,355195,0,3
Won't Give up (Cafe Del Mar Mix),Roberto Sol,roberto sol,"Hotel Lounge, Vol. 3",track,2019,254067,0,3
Spirit of Ashram - Extended Mix,Sunyata Project,sunyata project,Meditation Zone 7,track,2019,340729,0,3
Another Orbit - Your Dreams Mix,Jean Mare,jean mare,"Cherry Blossoms Springtime Chill, Vol. 2 (Finest Ambient and Background Music to Relax)",track,2019,215100,0,3
Nirvana Song - Dreamers inc & ThroDef remix,Nacho Sotomayor,nacho sotomayor,Singapore Orange (Urban Oriental Music),track,2019,372636,0,3
Wonderful - Dreamersinc & Throdef Deep Remix,Nacho Sotomayor,nacho sotomayor,"Pink Lounge Collection, Vol. 3",track,2019,416965,0,3
Me,Zedman,zedman,Naibu,track,2019,202135,0,3
Golden Lightfalls,Ganga,ganga,Golden Lightfalls,track,2019,285663,0,3
What We Had - Love Mix,Marga Sol,marga sol,"Chilled Weekend, Vol. 4 (Keep Calm And Enjoy This Amazing Mix Of Down Beat Tunes)",track,2019,301781,0,3
Nothing Without You - Original Mix,Weathertunes,weathertunes,"Sunrise, Sunset & Moonlight (25 Beautiful Vocal Tunes) [Moonlight Edition]",track,2019,240533,0,3
Son of a Preacher Man,Shannon & Keast,shannon keast,Chill R&B Soul Acoustic Playlist: 14 Smooth and Chilled Tracks,track,2019,162371,0,3
A New Day Coming - Original Mix,Steen Thottrup,steen thottrup,"Floating Clouds (Amazing Chill out Anthems), Vol. 3",track,2019,349653,0,3
Go There,Ganga,ganga,"Sweet Dreams (Beautiful Lounge Collection), Vol. 2",track,2019,252956,0,3
Galactic Highway - Nu Chillgroove Mix,Artenovum,artenovum,"Cafe Arte, Vol. 2 (Finest Chillout & Lounge Downbeat Playlist)",track,2019,302702,0,3
Half Moon Bay,Euphonic Traveller,euphonic traveller,Balearic Chill #5,track,2019,406000,0,3
See the Sun,ASP Project,asp project,"The Trance Effekt, Vol. 3",track,2019,317610,0,3
Body Language,Marga Sol,marga sol,The Boudoir Lounge: Sexy Chillout Music for Lovers,track,2019,250408,0,3
Funny Valentine,Florito,florito,"Chillout Connection, Vol. 5",track,2019,153315,0,3
Latin Go - Part One,VARGO,vargo,I Love Mukke II,track,2019,496800,0,3
More Than Friends,Mokita,mokita,Armada Music 2020,track,2019,159039,0,3
Amour Noblesse,Jens Buchert,jens buchert,"Sensual Spa Lounge, Vol. 12",track,2019,310451,0,3
Hallou,Jens Buchert,jens buchert,Ibiza Chillout #6,track,2019,247461,0,3
Ampurdan,Flashbaxx,flashbaxx,Chillers (Ambient & Lounge Selection),track,2019,392656,0,3
Sensuality,Roberto Sol,roberto sol,"Chillax, Vol. 4",track,2019,245250,0,3
Mental Journey - Original Mix,Sami Sivananda,sami sivananda,Ibiza Winter Session 2020 (The Island Chill out Pearls),track,2019,267265,0,3
Dreams (The W Song) - Remastered,Steen Thottrup,steen thottrup,Ibiza Sunsets (The Chill Out Beach Edition),track,2019,261162,0,3
Let EM,Zedman,zedman,Zavior,track,2019,225123,0,3
