name_track,name_artist,name_album,type,year,duration_ms,genre,popularity
Nirvana Song - Dreamers inc & ThroDef remix,Nacho Sotomayor,Singapore Orange (Urban Oriental Music),track,2019,372636,chill,0
Wonderful - Dreamersinc & Throdef Deep Remix,Nacho Sotomayor,"Pink Lounge Collection, Vol. 3",track,2019,416965,chill,0
Me,Zedman,Naibu,track,2019,202135,chill,0
Golden Lightfalls,Ganga,Golden Lightfalls,track,2019,285663,chill,0
What We Had - Love Mix,Marga Sol,"Chilled Weekend, Vol. 4 (Keep Calm And Enjoy This Amazing Mix Of Down Beat Tunes)",track,2019,301781,chill,0
Nothing Without You - Original Mix,Weathertunes,"Sunrise, Sunset & Moonlight (25 Beautiful Vocal Tunes) [Moonlight Edition]",track,2019,240533,chill,0
Son of a Preacher Man,Shannon & Keast,Chill R&B Soul Acoustic Playlist: 14 Smooth and Chilled Tracks,track,2019,162371,chill,0
A New Day Coming - Original Mix,Steen Thottrup,"Floating Clouds (Amazing Chill out Anthems), Vol. 3",track,2019,349653,chill,0
Go There,Ganga,"Sweet Dreams (Beautiful Lounge Collection), Vol. 2",track,2019,252956,chill,0
Galactic Highway - Nu Chillgroove Mix,Artenovum,"Cafe Arte, Vol. 2 (Finest Chillout & Lounge Downbeat Playlist)",track,2019,302702,chill,0
Half Moon Bay,Euphonic Traveller,Balearic Chill #5,track,2019,406000,chill,0
See the Sun,ASP Project,"The Trance Effekt, Vol. 3",track,2019,317610,chill,0
Body Language,Marga Sol,The Boudoir Lounge: Sexy Chillout Music for Lovers,track,2019,250408,chill,0
Funny Valentine,Florito,"Chillout Connection, Vol. 5",track,2019,153315,chill,0
Latin Go - Part One,VARGO,I Love Mukke II,track,2019,496800,chill,0
More Than Friends,Mokita,Armada Music 2020,track,2019,159039,chill,0
Amour Noblesse,Jens Buchert,"Sensual Spa Lounge, Vol. 12",track,2019,310451,chill,0
Hallou,Jens Buchert,Ibiza Chillout #6,track,2019,247461,chill,0
Ampurdan,Flashbaxx,Chillers (Ambient & Lounge Selection),track,2019,392656,chill,0
Sensuality,Roberto Sol,"Chillax, Vol. 4",track,2019,245250,chill,0
Mental Journey - Original Mix,Sami Sivananda,Ibiza Winter Session 2020 (The Island Chill out Pearls),track,2019,267265,chill,0
Dreams (The W Song) - Remastered,Steen Thottrup,Ibiza Sunsets (The Chill Out Beach Edition),track,2019,261162,chill,0
Let EM,Zedman,Zavior,track,2019,225123,chill,0
You're Still the One,Shannon & Keast,90S 00S and 10S Covers,track,2019,203713,chill,0
Wish - Chill Mix,Roberto Sol,"Arabian Shisha Lounge, Vol. 6",track,2019,246805,chill,0
Yogi Chill,Sami Sivananda,Dreamline 8,track,2019,222550,chill,0
Fledgling,Noah Jacob,From My Heart Through My Hands,track,2019,311350,chill,0
Pharvari,Yantra Mantra,Touch My Soul,track,2019,317291,chill,0
Running to the Void,Eskadet,Urban Buddha,track,2019,452466,chill,0
HellBent,Zedman,HellBent,track,2019,207725,chill,0
Expression,Zedman,Zavior,track,2019,158850,chill,0
Morning Sun,Marga Sol,Midnight Arouse: Sexy Chill Out Music for a Seductive Night,track,2019,263416,chill,0
Madara,Kyroshie,Best Trap,track,2019,173910,chill,0
"No Talking, Just Walking",Ulli Boegershausen,"No Talking, Just Walking",track,2019,190194,chill,0
Into the Ether - Original Mix,Lazy Hammock,"Chill out Magnifique, Vol. 2",track,2019,399626,chill,0
You Belong to Me,Shannon & Keast,Jazz Music Playlist for Studying,track,2019,177309,chill,0
Wy Words - Original Mix,2illusions,"Sample of Pleasure, Vol.5",track,2019,230770,chill,0
Lanibia Dreams - 7 Stars Mix,Artenovum,"Sun & Chill, Vol. 4 (Relaxing Moments with Smooth Lounge & Ambient Tunes)",track,2019,279157,chill,0
I'll Always Love You - Instrumental Mix,Florzinho,"Coffee Bar Chill Sounds, Vol. 12",track,2019,274281,chill,0
All I Long For - Original Mix,Gary B,Travel & Living Lounge Vol.4 (Traveling Chillout Mood),track,2019,240000,chill,0
The Scientist,Shannon & Keast,Acoustic Rock 2019,track,2019,210456,chill,0
The Journey Begins - Extended Mix,Sunyata Project,"Supreme Relax, Vol. 5",track,2019,236686,chill,0
One World One Future,Roberto Sol,"Sound of Serenity, Vol. 8",track,2019,317647,chill,0
Don't Go Home Yet,Five Seasons,"Nights Of Glitter (The Ultimate Lounge Collection), Vol. 2",track,2019,275640,chill,0
Lotus,Sunyata Project,Pure Wellness 8,track,2019,226100,chill,0
Resident Evil - Rock da Floor Mix,Loungeside,Distant Echo 2,track,2019,232330,chill,0
Changes,Marga Sol,"Feel the Heat, Vol. 2 (Fantastic Selection Of EDM & Progressive House Bangers To Bounce Around)",track,2019,379487,chill,0
FlintStone,Zedman,Zavior,track,2019,178677,chill,0
My Mind,Sarah rosen,I Only Need Myself,track,2019,104728,chill,0
Dwa Serduszka,Ulli Boegershausen,Dwa Serduszka,track,2019,149045,chill,0
Feel So Good,Florito,"Chill Out Whisper, Vol. 2",track,2019,371333,chill,0
System Failure,Zedman,Naibu,track,2019,194115,chill,0
Samadhi Vibes,Sami Sivananda,"Dreamy Sunset Lounge, Vol. 3",track,2019,195739,chill,0
Nothing Without You,Weathertunes,"A Day At The Terrace (A Chillin' Lounge Selection), Vol. 4",track,2019,240533,chill,0
Habitatmodul,Jens Buchert,"Lakeside Chill Sounds, Vol. 12",track,2019,278490,chill,0
La Vie en rose,Shannon & Keast,Jazz Songs for a Dinner Party,track,2019,154509,chill,0
Anis Nous Explique,Weathertunes,"Isla Bonita, Vol. 4",track,2019,331885,chill,0
A Humble Student,Host Bodies,Diamondfruit,track,2019,410770,chill,0
Misty,Shannon & Keast,Jazz Classics Covered,track,2019,166774,chill,0
Rocker,Zedman,Brain Storm,track,2019,130115,chill,0
Bahia,Faro,RLX #28 - The Chill out Collection,track,2019,366200,chill,0
Storm // Psalms,Chimezie,Peace & Blessings,track,2019,131450,chill,0
Better Know,Zedman,Zavior,track,2019,179121,chill,0
Fields of Gold,Shannon & Keast,Acoustic Chilled Playlist: Beautifully Relaxing Acoustic Arrangements,track,2019,268000,chill,0
Champagne & Dancing,Lazy Hammock,"Clubbers Culture: Downbeat & Chill Out Zone, Vol.2",track,2019,355852,chill,0
Cocktail,Five Seasons,"Chill Out Whisper, Vol. 2",track,2019,255148,chill,0
Away,Zedman,Zavior,track,2019,127190,chill,0
Lying To Me - Radio Edit,Ingo Herrmann,"Deep-House Paradise, Vol. 4",track,2019,232122,chill,0
Walk Around - Beach House Mix,Schwarz & Funk,Sunset Chill Out,track,2019,362295,chill,0
It's Hard - Mystic Instrumental Mix,Artenovum,"The Forest Chill Lounge, Vol. 15 (Deep Moods Music with Smooth Ambient & Chillout Tunes)",track,2019,247546,chill,0
Night Shade - Electronic Chillhouse Mix,Jean Mare,"Chill on the Beach, Vol. 6 (20 Finest Balearic Chillhouse & Ibiza Chillout Lounge Tunes)",track,2019,278000,chill,0
That Day - Olson Remix,Massivan,"Dünen Lounge Musik, Juist 2019",track,2019,189277,chill,0
Endless Time - Chillout Mix,Marie Therese,Sunset Emotions Vol.1 (Compiled by Marco Celloni),track,2019,268457,chill,0
1000 Years Old,Ganga,"Nights Of Glitter (The Ultimate Lounge Collection), Vol. 1",track,2019,373960,chill,0
Compassion - Remastered,Steen Thottrup,"Sunday Lounge, Vol. 4",track,2019,231442,chill,0
Aeon In Motion,Jens Buchert,RLX #26 - The Chill Out Collection,track,2019,303393,chill,0
Ursa Major,Pier-O,"Chilled Deep House Tunes, Vol. 2 (Sit Back And Enjoy This Wonderful Selection Of Modern Deep House Tunes)",track,2019,332459,chill,0
Golden Sunrise,Marga Sol,The Morning Light: Beautiful Relaxation Music to Start My Day,track,2019,293333,chill,0
Baby I Like It - Club Mix,Project Blue Sun,Baby I Like It,track,2019,324668,chill,0
Dreamin - Original Mix,Sine,"Sensual Spa Lounge, Vol. 5",track,2019,303243,chill,0
Piyar dosti hai,Yantra Mantra,Touch My Soul,track,2019,304214,chill,0
Far Away - Jean Mare Electronic Remix,For Found Future,"The Forest Chill Lounge, Vol. 14 (Deep Moods Music with Smooth Ambient & Chillout Tunes)",track,2019,353454,chill,0
Living on the Moon - Original Mix,Ganga,"Sunrise, Sunset & Moonlight (25 Beautiful Vocal Tunes) [Moonlight Edition]",track,2019,253770,chill,0
As Far as the Eye Can See - Original Mix,Michael E,White Sensation Lounge (Chillout Your Mind),track,2019,498000,chill,0
Without You - Original Mix,Gary B,Travel & Living Lounge Vol.5,track,2020,251013,chill,0
Eternal Love,Weathertunes,"Another Day, Another Island (Beautiful Lounge Collection), Vol. 2",track,2020,224866,chill,0
Outta Reach,Jay Cinema,Better Days Ahead,track,2020,117134,chill,0
Vinile,Gold Lounge,The Golden Room (8D Sound Chillout Vibes),track,2020,157268,chill,0
put more arch in yo spine,austin fox 狐,ESCAPE FROM TELEVANIA,track,2020,214227,chill,0
Demon Timing,Zedman,Demon Timing,track,2020,158837,chill,0
Bosporus - Original Mix,Jasmon,"Sunrise Meditation, Vol. 2",track,2020,266893,chill,0
Isolation Tank,Gelka,Isolation Tank,track,2020,223678,chill,0
For Those Who Left Us,Yantra Mantra,"The Chill Out White Sheep Session, Vol. 1",track,2020,245530,chill,0
Who Am I,Shannon & Keast,Sad Songs 2021,track,2020,275464,chill,0
Red Lanterns,Jasmon,"Deep Breathing (Beautiful Music For Your Soul), Vol. 3",track,2020,264646,chill,0
Az Freestyle,Swordbearer,Silience,track,2020,50780,chill,0
Serendipity,Gary B,Southbeat Pres: Coffee Morning Chill Selection,track,2020,273019,chill,0
Mar y Sol - Beach House Mix,Schwarz & Funk,Chill Dreams,track,2020,361199,chill,0
From A Friend,Five Seasons,"Chill Out Journey, Vol. 2",track,2020,250000,chill,0
Easier,Gary B,Southbeat Pres: Coffee Morning Chill Selection,track,2020,268019,chill,0
Totality - Original Mix,Mirage Of Deep,"Sunset Vibes (La Musica Electronica), Vol. 3",track,2020,381935,chill,0
Mahareena - Ibiza Mix,Sunyata Project,"Pink Flamingo Chillout Music, Vol. 2",track,2020,306742,chill,0
Blue Rose - Eivizzards Mix,Schwarz & Funk,Sunset Surfing Lounge: Chillout Your Mind,track,2020,355021,chill,0
Bahia - Original Mix,Faro,"Coffee Bar Lounge, Vol. 21",track,2020,366200,chill,0
Will You Love Me Tomorrow,Shannon & Keast,Acoustic R&B Love Songs,track,2020,218000,chill,0
Secret Lovers,Michael E,"Globetrotter, Vol. 4",track,2020,280080,chill,0
Falling into Existence - Instrumental Mix,Marga Sol,"Take it Easy, Vol. 1 (Wonderful Selection Of Calm & Chilled Electronic Tunes)",track,2020,253090,chill,0
Golden,Ganga,Around the World (A Chill Out & Lounge Journey),track,2020,294154,chill,0
Sunny Day - Lemongrass Lazy Afternoon Rework,Weathertunes,"Lost in Paradise (Beautiful Summer Tunes), Vol. 3",track,2020,266813,chill,0
Anis nous explique - Original Mix,Weathertunes,"Fireplace Chill, Vol. 2",track,2020,331840,chill,0
Lift Me Up - Club Mix,Cambis,"House Record Bag, Vol. 1",track,2020,493228,chill,0
Who Knew,Shannon & Keast,Sad Songs 2020,track,2020,227799,chill,0
Riding On a Cloud,Peter Pearson,Pure Relaxation,track,2020,217226,chill,0
Vasantika,Yantra Mantra,"Lounge Top 55, Vol. 6 Deluxe, the Original",track,2020,292364,chill,0
Cool and Dry - Lounge Sphere Mix,Jean Mare,"Soundbar Deluxe Chill Lounge, Vol. 6 (Best of Ibiza Chillout Ambient and Downbeat Tracks)",track,2020,252357,chill,0
BEAMstyle Shit,austin fox 狐,ESCAPE FROM TELEVANIA,track,2020,121270,chill,0
Stay a While Longer - Original Mix,Peter Pearson,Winter Spirits: Chillout Your Mind,track,2020,147000,chill,0
Late Nights,Zedman,Imperfect,track,2020,185835,chill,0
Es Cavalett - Original Mix,Eivissarts,Chillout Your Mind Vol.1 (Ultimate Chillout Collection),track,2020,345165,chill,0
Go There - Original Mix,Ganga,"Lounge Time, Vol. 1",track,2020,252956,chill,0
Feel It - Fat V Playa Rmx,Marga Sol,Urban Soulful Grooves Vol.1: Urban Vibes for Urban People,track,2020,288000,chill,0
Count on You,Zedman,An Emotional Turmoil in the City,track,2020,166478,chill,0
Into the Ether,Lazy Hammock,Late Night Chill 2,track,2020,399626,chill,0
Beautiful,Shannon & Keast,R&B Acoustic,track,2020,236436,chill,0
Dimanche Matin - Original Mix,Weathertunes,"Sensual Spa Lounge, Vol. 11",track,2020,277910,chill,0
interlude,Kaxi,Dynamic Love,track,2020,71957,chill,0
Immersion,Eskadet,"Lettres d'amour (Smooth Chill Out Grooves), Vol. 4",track,2020,464699,chill,0
Everytime You Go Away,KoolSax,Sweet Formentera (Balearic Flavored Lounge Cookies),track,2020,353725,chill,0
Mystic Traveller,Ingo Herrmann,"Mystery Land, Vol. 1",track,2020,132519,chill,0
Live Love Life,Worldtraveller,"A Good Day, Vol. 3 (This Fantastic Selection Of Calm Beats Escort You Through The Day)",track,2020,268411,chill,0
Missing You,AINT,Missing You,track,2020,148983,chill,0
Garden - Original Mix,Faro,"Sensual Mood Lounge, Vol. 18",track,2020,411666,chill,0
Heaven,Five Seasons,"Chill Out Boutique, Vol. 3",track,2020,291904,chill,0
Easier - Original Mix,Gary B,Traveling Lounge: Chillout Your Mind,track,2020,266000,chill,0
Floating,Ingo Herrmann,"Deep Breathing (Beautiful Music For Your Soul), Vol. 4",track,2020,141538,chill,0
Under the Moonlight,Clelia Felix,"Sunset Emotions, Vol. 2",track,2020,276480,chill,0
Young Hearts Run Free,Shannon & Keast,Acoustic R&B Chill Music: 18 Smooth and Chilled Tracks,track,2020,286498,chill,0
Bosporus,Jasmon,"Beautiful Chill Out Collection, Vol. 1",track,2020,266893,chill,0
E-Suite - Original Mix,Jens Buchert,"Sunset Meditation - Relaxing Chill out Music, Vol. 14",track,2020,305125,chill,0
