artist_name_raw,artist_name_norm,listeners,playcount,id_genre
Pedro Capó,pedro capó,244896,2026703,4
Peso Pluma,peso pluma,656407,48376772,4
Piso 21,piso 21,316391,5816636,4
Polimá Westcoast,polimá westcoast,183558,5050546,4
Prince Royce,prince royce,714208,13603643,4
Quevedo,quevedo,366265,21819193,4
Roa,roa,74095,5821650,4
ROSALÍA,rosalía,1776001,186866295,4
Raffa FL,raffa fl,101494,555351,4
Ralphie Choo,ralphie choo,106492,4208795,4
Rasel,rasel,27482,164755,4
Raul Clyde,raul clyde,28720,1065858,4
Rauw Alejandro,rauw alejandro,977857,84029000,4
Rei,rei,126611,2457290,4
Reik,reik,605865,13868845,4
Rels B,rels b,385435,25890101,4
Residente,residente,177731,2566005,4
Rich Music LTD,rich music ltd,105186,1820276,4
Rita Payés,rita payés,144326,1559057,4
RobGz,robgz,16655,171750,4
Rochy RD,rochy rd,124682,1665132,4
Rokero,rokero,13290,170319,4
Romeo Santos,romeo santos,767128,22641518,4
Rusherking,rusherking,82592,2397179,4
Rvfv,rvfv,268018,4448489,4
RVSSIAN,rvssian,508696,6580897,4
Ryan Castro,ryan castro,351535,7179181,4
Saiko,saiko,346465,8666838,4
Sean Paul,sean paul,3055022,46563803,4
Sebastian Yatra,sebastian yatra,620586,14325333,4
Sech,sech,357842,7257496,4
Sergio Contreras,sergio contreras,55532,432528,4
Shakira,shakira,4738705,172881033,4
Sky Rompiendo,sky rompiendo,155795,2755922,4
Soge Culebra,soge culebra,55005,1228069,4
Soolking,soolking,180340,4305999,4
Soto Asa,soto asa,68719,3926210,4
Sticky M.A.,sticky m.a.,53335,4981056,4
Super Yei,super yei,129248,1598362,4
Tini,tini,382501,19047846,4
Tainy,tainy,736572,34156206,4
Tempo,tempo,101466,557351,4
Tiago PZK,tiago pzk,272265,11457701,4
Tito Nieves,tito nieves,141425,937477,4
Tokischa,tokischa,401749,6494438,4
Trueno,trueno,342021,18268808,4
Vius,vius,10641,121061,4
WAKYIN,wakyin,80677,544250,4
Wisin,wisin,433221,4978905,4
Wisin & Yandel,wisin & yandel,833816,18915238,4
YOVNGCHIMI,yovngchimi,74321,2542645,4
Ysy A,ysy a,141264,20819726,4
Yami Safdie,yami safdie,130197,1902343,4
Yan Block,yan block,131216,13262318,4
Yandel,yandel,459133,8444541,4
Yiyo Sarante,yiyo sarante,56389,570109,4
Yng Lvcas,yng lvcas,284105,3352634,4
Young Martino,young martino,24047,203864,4
Yung Beef,yung beef,140525,17701027,4
Zhamira,zhamira,5310,37958,4
céro,céro,21971,497230,4
Izaak,izaak,72968,1751277,4
iñigo quintero,iñigo quintero,214034,2610204,4
l0rna,l0rna,11747,407355,4
PaoPao,paopao,42323,658986,4
Rusowsky,rusowsky,301905,12305374,4
zzoilo,zzoilo,153754,1900286,4
Çantamarta,çantamarta,65973,528021,4
Ñengo Flow,ñengo flow,228899,4996803,4
